number of the task,PL,NE,SR,time,MTR
1,18.220622796169337,5.5275410226930095,0,72.60225749015808,0.6126885660326634
2,2.5720702692457014,36.39472201572341,0,40.254419803619385,0.24309607609423858
3,53.97809684002411,8.854545632773256,0,119.65029501914978,0.8365183994297448
4,44.03700747079972,0.20772064193701617,1,126.5671739578247,0.8048461439272929
5,0,0,0,0,0
6,0,0,0,0,0
7,0,0,0,0,0
8,57.177276821599996,0.2105896172203292,1,172.28371381759644,0.798751452840547
9,0,0,0,0,0
10,0,0,0,0,0
overall,50.60714214619986,0.2091551295786727,0.2,149.42544388771057,0.80179879838392
