number of the task,NE,SR,time,MTR
1,0.07672051150611067,1,51.285013914108276,0.9568117726948148
2,0.19032104869418592,1,202.5598361492157,0.9868574747541257
3,0.2100730512187277,1,297.87067198753357,0.9910738284784625
4,0.20003393582431345,1,359.3775703907013,0.991612835044546
5,0.40741925362646225,1,292.55423617362976,0.9913096410872928
6,37.194622236787936,0,280.7362687587738,0.9880664573318512
7,0.12951935110892732,1,183.8320095539093,0.9861356786510018
8,0.11732040309479526,1,121.19376730918884,0.9776488418636036
9,2.5523492151538756,0,330.8119831085205,0.9911487072764266
10,2.4919309996029044,0,221.53207063674927,0.9890185943336592
11,0.209752651491941,1,190.5207757949829,0.9845529379268819
12,0.23024779386963357,1,140.59597373008728,0.9814111987752192
13,0.18746559707451443,1,273.47407698631287,0.9894293872859842
14,0.19026937537651578,1,284.5351936817169,0.9899803892588157
15,0.14514701348310444,1,351.1083869934082,0.991384563721996
16,0.17386108401248113,1,399.83818006515503,0.9923134893155665
17,7.711250240770476,0,429.4454140663147,0.9930238300795864
18,1.7877290218641884,0,342.4143521785736,0.9922239154438497
19,0.21917227279660617,1,253.66151428222656,0.9890603163108961
20,0.18330738410236713,1,475.85289311408997,0.9920719112077712
21,5.024536428636869,0,321.22139525413513,0.9880636192268668
22,0,0,0,0
23,6.506556439146685,0,446.5350503921509,0.9924196504945004
24,8.524189629239258,0,481.35101652145386,0.9924056267133418
25,0.19777386189538437,1,92.59269118309021,0.9608553717660688
26,0.23019781780810525,1,450.3390700817108,0.9920559050231216
27,4.2448529227436715,0,431.66699719429016,0.991463520996951
28,3.789813824379935,0,225.5928955078125,0.984097382624359
29,16.953360535479035,0,236.4825315475464,0.9839251078962578
30,0.9710687112813505,0,532.2815642356873,0.9910528884949029
overall,0.19403543570495152,0.5666666666666667,260.0701094935922,0.9849744437156569
