number of the task,PL,NE,SR,time,MTR
1,12.603962899731446,0.22623055018772723,1,34.08294177055359,0.9423487529248787
2,44.96243631460122,0.23313226122457725,1,92.6707992553711,0.980541103059989
3,47.320330810751805,0.1596210190156759,1,104.0072546005249,0.9785721966972692
4,18.937070245883472,0.21991162832342692,1,46.27214026451111,0.9649107829427132
5,57.0263334030053,5.5137153830794325,0,124.26929235458374,0.9823423685350607
6,63.94257122166809,16.213372874017786,0,139.4685001373291,0.9821944963750208
7,4.266895125512535,12.963096427351285,0,16.448139190673828,0.8801893724426171
8,23.496695123346154,0.22887159731491696,1,56.08012342453003,0.9710291368884657
9,62.54626414013458,0.22570821910244035,1,160.5578384399414,0.9858911990855438
10,96.46825552156889,0.23344253917119762,1,226.58611917495728,0.9852737856815182
overall,431.5708148062035,3.6217102498788463,0.7,100.04431486129761,0.9653293194633076
